DepartureIATA, ArrivalIATA, Year of Flight
MRV,DXB,2015
MRV,DXB,2017
MRV,DXB,2018
MRV,DXB,2019
MRV,AYT,2019
MRV,AYT,2017
MRV,GYD,2019
GYD,DXB,2019
SVO,VCE,2015
STW,SVO,2015
LED,MRV,2016
STV,VKO,2017
DME,DXB,2017
STW,DME,2018
DXB,MXP,2018
STW,SVO,2017
SVO,JFK,2017
DXB,KUL,2018
DXB,BEY,2018
STW,IST,2015
IST,DMM,2015
STW,IST,2019
IST,SFO,2019
SFO,LAS,2019
ABQ,JFK,2019
DXB,BCN,2019
DXB,MAD,2019
DXB,IST,2021
DXB,DME,2021
DME,STW,2021
DXB,TLV,2022
DXB,CDG,2023
CDG,MPL,2023
BCN,AUH,2023
BCN,AUH,2024
DXB,IST,2022
IST,OSL,2022
OSL,CPH,2022
DXB,BAH,2022
BAH,MXP,2022
MXP,VIE,2022
MRS,PMO,2023